Shooter,Goalie,Shooter_Year,Goalie_Year
Mikko Rantanen,Andrei Vasilevskiy,2021,2021
Steven Stamkos,Darcy Kuemper,2021,2021
Gabriel Landeskog,Andrei Vasilevskiy,2021,2021
Cale Makar,Andrei Vasilevskiy,2021,2021
Dylan Cozens,Nico Daws,2021,2021
Nico Hischier,Dustin Tokarski,2021,2021
Pavel Zacha,Dustin Tokarski,2021,2021
Jonathan Huberdeau,Carter Hart,2021,2021
Claude Giroux,Sergei Bobrovsky,2021,2021
Cam Atkinson,Sergei Bobrovsky,2021,2021
Owen Tippett,Carter Hart,2021,2021
Jonathan Huberdeau,Carter Hart,2021,2021
Drew O'Connor,Jack Campbell,2021,2021
Jason Spezza,Tristan Jarry,2021,2021
Mike Matheson,Jack Campbell,2021,2021
Jason Zucker,Jack Campbell,2021,2021
Drew O'Connor,Jack Campbell,2021,2021
Marcus Pettersson,Jack Campbell,2021,2021
Brian Boyle,Michael Hutchinson,2021,2021
Evan Rodrigues,Michael Hutchinson,2021,2021
Andrew Mangiapane,Vitek Vanecek,2021,2021
Elias Lindholm,Vitek Vanecek,2021,2021
Elias Lindholm,Vitek Vanecek,2021,2021
Evgeny Kuznetsov,Dan Vladar,2021,2021
Martin Fehérváry,Dan Vladar,2021,2021
Alex Ovechkin,Dan Vladar,2021,2021
Elias Lindholm,Ilya Samsonov,2021,2021
Jesper Fast,Joonas Korpisalo,2021,2021
Vincent Trocheck,Joonas Korpisalo,2021,2021
Boone Jenner,Frederik Andersen,2021,2021
Jordan Staal,Joonas Korpisalo,2021,2021
Sebastian Aho,Joonas Korpisalo,2021,2021
Vincent Trocheck,Joonas Korpisalo,2021,2021
Alex Iafallo,Jordan Binnington,2021,2021
David Perron,Cal Petersen,2021,2021
Ivan Barbashev,Cal Petersen,2021,2021
David Perron,Cal Petersen,2021,2021
Jake Neighbours,Cal Petersen,2021,2021
Ryan O'Reilly,Cal Petersen,2021,2021
James Neal,Cal Petersen,2021,2021
Dustin Brown,Jordan Binnington,2021,2021
Carl Grundstrom,Jordan Binnington,2021,2021
David Perron,Cal Petersen,2021,2021
Rickard Rakell,Cam Talbot,2021,2021
Brandon Duhaime,John Gibson,2021,2021
Jared Spurgeon,John Gibson,2021,2021
Troy Terry,Cam Talbot,2021,2021
Rickard Rakell,Cam Talbot,2021,2021
Jon Merrill,John Gibson,2021,2021
Ryan Hartman,John Gibson,2021,2021
Colton Sissons,Connor Hellebuyck,2021,2021
Adam Lowry,Juuse Saros,2021,2021
Pierre-Luc Dubois,Juuse Saros,2021,2021
Paul Stastny,Juuse Saros,2021,2021
Nick Cousins,Connor Hellebuyck,2021,2021
Kristian Vesalainen,Juuse Saros,2021,2021
Roman Josi,Connor Hellebuyck,2021,2021
Paul Stastny,Juuse Saros,2021,2021
Kyle Connor,Juuse Saros,2021,2021
Philip Tomasino,Connor Hellebuyck,2021,2021
Cal Clutterbuck,Karel Vejmelka,2021,2021
Brock Nelson,Karel Vejmelka,2021,2021
Anthony Beauvillier,Karel Vejmelka,2021,2021
Vince Dunn,Thatcher Demko,2021,2021
Bo Horvat,Philipp Grubauer,2021,2021
Mark Giordano,Thatcher Demko,2021,2021
Bo Horvat,Philipp Grubauer,2021,2021
Conor Garland,Philipp Grubauer,2021,2021
Brad Marchand,Adin Hill,2021,2021
Derek Forbort,Adin Hill,2021,2021
David Pastrnak,Adin Hill,2021,2021
Jasper Weatherby,Linus Ullmark,2021,2021
Jake DeBrusk,Adin Hill,2021,2021
Tomas Hertl,Linus Ullmark,2021,2021
Timo Meier,Linus Ullmark,2021,2021
Lucas Raymond,Marc-Andre Fleury,2021,2021
Tyler Johnson,Alex Nedeljkovic,2021,2021
Carter Rowney,Marc-Andre Fleury,2021,2021
Vladislav Namestnikov,Marc-Andre Fleury,2021,2021
Tyler Bertuzzi,Marc-Andre Fleury,2021,2021
Dominik Kubalik,Alex Nedeljkovic,2021,2021
Lucas Raymond,Marc-Andre Fleury,2021,2021
Henrik Borgstrom,Alex Nedeljkovic,2021,2021
Lucas Raymond,Marc-Andre Fleury,2021,2021
Roman Josi,Kaapo Kahkonen,2021,2021
Ryan Johansen,Kaapo Kahkonen,2021,2021
Ryan Johansen,Kaapo Kahkonen,2021,2021
Nick Bjugstad,Connor Ingram,2021,2021
Filip Forsberg,Kaapo Kahkonen,2021,2021
Tanner Jeannot,Kaapo Kahkonen,2021,2021
Nico Sturm,Connor Ingram,2021,2021
Josh Bailey,Robin Lehner,2021,2021
Mathew Barzal,Robin Lehner,2021,2021
Victor Olofsson,Brian Elliott,2021,2021
Alex Killorn,Craig Anderson,2021,2021
Drake Caggiula,Brian Elliott,2021,2021
Vinnie Hinostroza,Brian Elliott,2021,2021
Drake Batherson,Ilya Samsonov,2021,2021
T.J. Oshie,Anton Forsberg,2021,2021
T.J. Oshie,Anton Forsberg,2021,2021
Nick Jensen,Anton Forsberg,2021,2021
John Carlson,Anton Forsberg,2021,2021
Josh Norris,Ilya Samsonov,2021,2021
Chris Tierney,Ilya Samsonov,2021,2021
Drake Batherson,Ilya Samsonov,2021,2021
Alex Ovechkin,Filip Gustavsson,2021,2021
T.J. Oshie,Filip Gustavsson,2021,2021
Drake Batherson,Ilya Samsonov,2021,2021
Alex Ovechkin,Filip Gustavsson,2021,2021
Clayton Keller,Spencer Knight,2021,2021
Joe Thornton,Carter Hutton,2021,2021
Frank Vatrano,Karel Vejmelka,2021,2021
